year,link,name
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers - ""Poor Things"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"James Wilson, Producer - ""The Zone of Interest"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Production Design: Sarah Greenwood; Set Decoration: Katie Spencer - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Production Design: Jack Fisk; Set Decoration: Adam Willis - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Production Design: Arthur Max; Set Decoration: Elli Griff - ""Napoleon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Production Design: Ruth De Jong; Set Decoration: Claire Kaufman - ""Oppenheimer"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Tal Kantor and Amit R. Gicelter - ""Letter to a Pig"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Jerusha Hess and Jared Hess - ""Ninety-Five Senses"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Yegane Moghaddam - ""Our Uniform"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Stéphanie Clément and Marc Rius - ""Pachyderme"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Misan Harriman and Nicky Bentham - ""The After"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Vincent René-Lortie and Samuel Caron - ""Invincible"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Lasse Lyskjær Noer and Christian Norlyk - ""Knight of Fortune"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Nazrin Choudhury and Sara McFarlane - ""Red, White and Blue"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Ian Voigt, Erik Aadahl, Ethan Van der Ryn, Tom Ozanich and Dean Zupancic - ""The Creator"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Steven A. Morrow, Richard King, Jason Ruder, Tom Ozanich and Dean Zupancic - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Chris Munro, James H. Mather, Chris Burdon and Mark Taylor - ""Mission: Impossible - Dead Reckoning Part One"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Willie Burton, Richard King, Gary A. Rizzo and Kevin O'Connell - ""Oppenheimer"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Jay Cooper, Ian Comley, Andrew Roberts and Neil Corbould - ""The Creator"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Stephane Ceretti, Alexis Wajsbrot, Guy Williams and Theo Bialek - ""Guardians of the Galaxy Vol. 3"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Alex Wuttke, Simone Coco, Jeff Sutherland and Neil Corbould - ""Mission: Impossible - Dead Reckoning Part One"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Charley Henley, Luc-Ewen Martin-Fenouillet, Simone Coco and Neil Corbould - ""Napoleon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written by Greta Gerwig & Noah Baumbach - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written for the screen by Christopher Nolan - ""Oppenheimer"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Screenplay by Tony McNamara - ""Poor Things"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written by Jonathan Glazer - ""The Zone of Interest"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written by David Hemingson - ""The Holdovers"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written by Bradley Cooper & Josh Singer - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Screenplay by Samy Burch; Story by Samy Burch & Alex Mechanik - ""May December"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Written by Celine Song - ""Past Lives"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Austin Butler - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Colin Farrell - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Paul Mescal - ""Aftersun"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Bill Nighy - ""Living"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Brendan Gleeson - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Brian Tyree Henry - ""Causeway"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Judd Hirsch - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Barry Keoghan - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Cate Blanchett - ""Tár"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Ana de Armas - ""Blonde"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Andrea Riseborough - ""To Leslie"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Michelle Williams - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Angela Bassett - ""Black Panther: Wakanda Forever"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Hong Chau - ""The Whale"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Kerry Condon - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Stephanie Hsu - ""Everything Everywhere All at Once"""
